date,revenue,costs,customers,department
2024-01-01,500000,300000,1000,Sales
2024-02-01,520000,310000,1050,Sales
2024-03-01,545000,320000,1100,Marketing
2024-04-01,530000,315000,1080,Marketing
2024-05-01,560000,330000,1150,Engineering
2024-06-01,580000,340000,1200,Engineering
2024-07-01,595000,350000,1250,Operations
2024-08-01,610000,360000,1300,Operations
2024-09-01,630000,370000,1350,Sales
2024-10-01,650000,380000,1400,Sales
2024-11-01,670000,390000,1450,Marketing
2024-12-01,690000,400000,1500,Marketing
